com.samsung.shealth.tracker.pedometer_day_summary,6156001,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
17451,80f9f5ad-8acf-40f8-9435-3410bb62d79d.binning_data.json,10668995,6000,0,2018-05-27 21:45:28.804,com.sec.android.app.shealth,2018-05-27 09:16:29.549,80f9f5ad-8acf-40f8-9435-3410bb62d79d.source_info.json,1.2113905,12924.319,708.54987,17451,VfS0qUERdZ,com.sec.android.app.shealth,0,80f9f5ad-8acf-40f8-9435-3410bb62d79d.achievement.json,80f9f5ad-8acf-40f8-9435-3410bb62d79d,1527379200000,
168,bd69a9bc-c280-47b2-be73-4583cb9d887b.binning_data.json,107025,6000,0,2018-06-08 22:00:03.377,com.sec.android.app.shealth,2018-06-08 22:00:03.377,,1.4635109,125.25,6.74,168,ekw9bqx6s/,com.sec.android.app.shealth,0,bd69a9bc-c280-47b2-be73-4583cb9d887b.achievement.json,bd69a9bc-c280-47b2-be73-4583cb9d887b,1528416000000,
7957,848a40d6-2d0a-43ae-913a-537a94b2abbc.binning_data.json,4353631,6000,0,2018-06-15 22:00:03.126,com.sec.android.app.shealth,2018-06-15 22:00:03.126,,1.7777778,6069.92,323.3,7957,ekw9bqx6s/,com.sec.android.app.shealth,6395,848a40d6-2d0a-43ae-913a-537a94b2abbc.achievement.json,848a40d6-2d0a-43ae-913a-537a94b2abbc,1529020800000,
21287,a7821410-75b4-4452-8886-710f57a89122.binning_data.json,12592596,6000,1,2018-06-01 20:47:00.203,com.sec.android.app.shealth,2018-06-01 09:04:18.443,a7821410-75b4-4452-8886-710f57a89122.source_info.json,1.2727604,16027.358,855.6798,21286,VfS0qUERdZ,com.sec.android.app.shealth,0,a7821410-75b4-4452-8886-710f57a89122.achievement.json,a7821410-75b4-4452-8886-710f57a89122,1527811200000,
11270,8728a0a2-0e2d-47a3-8aaf-f9df75e71328.binning_data.json,6287435,6000,0,2018-05-25 18:38:00.304,com.sec.android.app.shealth,2018-05-25 07:07:02.156,8728a0a2-0e2d-47a3-8aaf-f9df75e71328.source_info.json,1.362053,8563.82,457.74,11270,VfS0qUERdZ,com.sec.android.app.shealth,0,8728a0a2-0e2d-47a3-8aaf-f9df75e71328.achievement.json,8728a0a2-0e2d-47a3-8aaf-f9df75e71328,1527206400000,
9189,8bc825d0-0839-423d-a0a0-6e72b83ba43d.binning_data.json,4923167,6000,7,2018-06-11 22:00:34.481,com.sec.android.app.shealth,2018-06-11 22:00:34.481,,1.9166665,7048.62,371.95,9182,ekw9bqx6s/,com.sec.android.app.shealth,4274,8bc825d0-0839-423d-a0a0-6e72b83ba43d.achievement.json,8bc825d0-0839-423d-a0a0-6e72b83ba43d,1528675200000,
26188,472ffa34-8e60-4bc3-8483-451c3a037e85.binning_data.json,15634212,6000,3,2018-06-05 22:00:05.950,com.sec.android.app.shealth,2018-06-04 08:06:35.900,472ffa34-8e60-4bc3-8483-451c3a037e85.source_info.json,1.2212358,19093.059,1090.8999,26185,VfS0qUERdZ,com.sec.android.app.shealth,0,472ffa34-8e60-4bc3-8483-451c3a037e85.achievement.json,472ffa34-8e60-4bc3-8483-451c3a037e85,1528070400000,
14928,2a4063f9-0837-4202-8f3d-460bc86e25b7.binning_data.json,9139613,6000,1,2018-05-28 20:58:08.160,com.sec.android.app.shealth,2018-05-28 08:15:00.911,2a4063f9-0837-4202-8f3d-460bc86e25b7.source_info.json,1.1993045,10961.179,602.36993,14927,VfS0qUERdZ,com.sec.android.app.shealth,0,2a4063f9-0837-4202-8f3d-460bc86e25b7.achievement.json,2a4063f9-0837-4202-8f3d-460bc86e25b7,1527465600000,
8327,87e6e9f1-9e5b-4d72-b33f-8722e232cece.binning_data.json,4575611,6000,0,2018-06-14 22:15:19.498,com.sec.android.app.shealth,2018-06-14 22:00:03.028,,1.6388887,6336.38,338.74,8327,ekw9bqx6s/,com.sec.android.app.shealth,5341,87e6e9f1-9e5b-4d72-b33f-8722e232cece.achievement.json,87e6e9f1-9e5b-4d72-b33f-8722e232cece,1528934400000,
5583,9386a147-4967-4535-a59a-d627a0d8dfde.binning_data.json,3106518,6000,0,2018-06-18 22:00:02.240,com.sec.android.app.shealth,2018-06-18 22:00:02.240,,1.4819998,4255.94,224.96,5583,ekw9bqx6s/,com.sec.android.app.shealth,4029,9386a147-4967-4535-a59a-d627a0d8dfde.achievement.json,9386a147-4967-4535-a59a-d627a0d8dfde,1529280000000,
